iter	Logloss
0	0.6288966987
1	0.5865208443
2	0.5528878737
3	0.5299746817
4	0.5115214223
5	0.4932292425
6	0.4786490005
7	0.4671156898
8	0.4588083998
9	0.4515188739
10	0.4453003694
11	0.4409446543
12	0.4376972892
13	0.4350478676
14	0.4318572322
15	0.4296635065
16	0.426618429
17	0.4237417984
18	0.4216515147
19	0.4201291462
20	0.4183607527
21	0.4171761913
22	0.4161141023
23	0.4159351908
24	0.4146825351
25	0.4137324876
26	0.4134384993
27	0.412581272
28	0.4120188825
29	0.4116038311
30	0.4112619954
31	0.4110653522
32	0.4107457181
33	0.4102779516
34	0.4101289465
35	0.4098216064
36	0.4096303264
37	0.4093493185
38	0.4089711044
39	0.4088876672
40	0.4087338683
41	0.4087240461
42	0.4085823066
43	0.4082425469
44	0.4082074135
45	0.4081769798
46	0.408162098
47	0.4080858597
48	0.4077445104
49	0.4076776034
50	0.4076236305
51	0.4075055404
52	0.4072799658
53	0.4072148057
54	0.4071272868
55	0.4070737221
56	0.4070142536
57	0.4069590915
58	0.4067349212
59	0.4066458391
60	0.4062592943
61	0.4062157196
62	0.406157952
63	0.4061248183
64	0.4058222543
65	0.4057375283
66	0.405574527
67	0.4052273935
68	0.4051258253
69	0.4047426172
70	0.4046731011
71	0.4046540933
72	0.4044114668
73	0.4043758705
74	0.4040152217
75	0.403802412
76	0.4037512737
77	0.4036097117
78	0.4035869458
79	0.4029347302
80	0.4029120246
81	0.4028634494
82	0.4025945996
83	0.402573828
84	0.4025552431
85	0.4023644872
86	0.4019555108
87	0.4019230326
88	0.4018606927
89	0.4018385074
90	0.4017866464
91	0.4017704103
92	0.4017023934
93	0.401594989
94	0.4015707431
95	0.4014757502
96	0.4014297245
97	0.4014265578
98	0.4014263472
99	0.4014143664
100	0.4013548921
101	0.4013547756
102	0.4012065804
103	0.4007411472
104	0.4007298714
105	0.400036072
106	0.4000297684
107	0.3997764684
108	0.3997742108
109	0.3997232951
110	0.3997193788
111	0.3993666184
112	0.3993662684
113	0.3993500215
114	0.3993243213
115	0.3992146828
116	0.3991566141
117	0.3991446779
118	0.399105076
119	0.39910334
120	0.3988548207
121	0.3988018598
122	0.3987863265
123	0.3987801023
124	0.3987800274
125	0.3986755749
126	0.3986240628
127	0.3985817891
128	0.3985648436
129	0.3985647725
130	0.3985211329
131	0.3984314261
132	0.3983987814
133	0.3983977242
134	0.3979779795
135	0.3979776177
136	0.3977595298
137	0.3974859676
138	0.397475564
139	0.3973953188
140	0.3973819128
141	0.3973771651
142	0.3972824917
143	0.397248611
144	0.3970815683
145	0.3970748899
146	0.397065719
147	0.3970366984
148	0.3969942503
149	0.3968133577
