iter	Passed	Remaining
0	12	3178
1	32	4187
2	42	3577
3	52	3324
4	62	3113
5	66	2786
6	71	2554
7	75	2331
8	78	2157
9	81	2013
10	83	1870
11	87	1774
12	89	1670
13	92	1598
14	95	1541
15	99	1490
16	103	1449
17	107	1417
18	111	1391
19	115	1359
20	118	1326
21	121	1295
22	124	1265
23	128	1241
24	132	1225
25	136	1210
26	140	1190
27	143	1171
28	147	1154
29	151	1138
30	153	1110
31	156	1098
32	160	1087
33	164	1074
34	168	1063
35	172	1054
36	176	1042
37	179	1031
38	183	1019
39	186	1006
40	190	997
41	194	988
42	197	977
43	200	965
44	203	953
45	205	938
46	209	929
47	213	927
48	217	920
49	220	907
50	224	901
51	228	894
52	231	886
53	235	881
54	238	870
55	241	863
56	245	857
57	249	853
58	252	844
59	255	834
60	258	827
61	264	826
62	267	819
63	269	809
64	273	802
65	276	796
66	280	792
67	284	786
68	287	780
69	289	769
70	294	766
71	298	762
72	302	757
73	304	749
74	309	747
75	313	742
76	316	735
77	320	730
78	323	724
79	326	719
80	331	716
81	333	706
82	336	702
83	338	694
84	341	686
85	345	683
86	348	677
87	352	673
88	356	668
89	359	662
90	361	654
91	365	650
92	368	645
93	371	639
94	374	634
95	377	629
96	381	624
97	385	621
98	388	616
99	392	611
100	396	608
101	399	603
102	403	599
103	406	593
104	410	589
105	425	602
106	430	599
107	434	594
108	437	590
109	440	584
110	443	579
111	446	574
112	450	570
113	452	563
114	456	559
115	459	555
116	463	550
117	467	547
118	471	543
119	476	540
120	480	535
121	484	532
122	488	527
123	491	523
124	495	519
125	499	515
126	503	511
127	505	505
128	509	501
129	514	498
130	517	493
131	521	489
132	525	486
133	529	481
134	533	478
135	538	475
136	542	470
137	546	467
138	550	462
139	553	458
140	556	453
141	559	449
142	562	444
143	567	441
144	571	437
145	575	433
146	578	429
147	582	425
148	587	421
149	591	418
150	594	413
151	598	409
152	603	406
153	607	402
154	611	398
155	615	394
156	619	390
157	623	386
158	627	382
159	631	378
160	634	374
161	639	371
162	643	367
163	648	363
164	652	359
165	655	355
166	659	351
167	663	347
168	668	344
169	672	339
170	675	335
171	679	331
172	682	327
173	686	323
174	689	319
175	693	315
176	697	311
177	701	307
178	704	302
179	707	298
180	711	294
181	714	290
182	719	286
183	723	282
184	727	279
185	731	275
186	735	271
187	739	267
188	743	263
189	748	259
190	751	255
191	754	251
192	758	247
193	762	243
194	765	239
195	769	235
196	773	231
197	777	227
198	780	223
199	785	219
200	788	215
201	792	211
202	797	208
203	801	204
204	806	200
205	810	196
206	814	192
207	818	188
208	822	185
209	826	180
210	830	177
211	833	173
212	837	169
213	842	165
214	847	161
215	851	157
216	855	153
217	858	149
218	863	145
219	868	142
220	872	138
221	876	134
222	879	130
223	883	126
224	887	122
225	891	118
226	895	114
227	899	110
228	903	106
229	907	102
230	911	98
231	914	94
232	918	90
233	922	86
234	926	82
235	929	78
236	933	74
237	937	70
238	941	66
239	945	63
240	949	59
241	953	55
242	958	51
243	962	47
244	966	43
245	970	39
246	974	35
247	978	31
248	981	27
249	986	23
250	990	19
251	995	15
252	1000	11
253	1004	7
254	1011	3
255	1016	0
